"year","period","periodName","footnotes","LNS12300164","LNS12300327","date"
1948,"M01","January","",93.7,30.3,1948-01-01
1948,"M02","February","",93.6,30.2,1948-02-01
1948,"M03","March","",93.4,30.1,1948-03-01
1948,"M04","April","",93,31.6,1948-04-01
1948,"M05","May","",92.9,31.3,1948-05-01
1948,"M06","June","",93.2,32.2,1948-06-01
1948,"M07","July","",94.1,32.4,1948-07-01
1948,"M08","August","",92.7,32.1,1948-08-01
1948,"M09","September","",93.2,32.7,1948-09-01
1948,"M10","October","",93.1,32.6,1948-10-01
1948,"M11","November","",93,32.7,1948-11-01
1948,"M12","December","",92.7,32.8,1948-12-01
1949,"M01","January","",92.2,31.9,1949-01-01
1949,"M02","February","",92.2,32.2,1949-02-01
1949,"M03","March","",91.9,32.2,1949-03-01
1949,"M04","April","",91.6,31.1,1949-04-01
1949,"M05","May","",91,31.9,1949-05-01
1949,"M06","June","",91,31.1,1949-06-01
1949,"M07","July","",90.1,31.5,1949-07-01
1949,"M08","August","",90.6,31.3,1949-08-01
1949,"M09","September","",90.8,31.2,1949-09-01
1949,"M10","October","",88.8,30.8,1949-10-01
1949,"M11","November","",90.3,31.4,1949-11-01
1949,"M12","December","",90,30.9,1949-12-01
1950,"M01","January","",89.7,31.2,1950-01-01
1950,"M02","February","",90.2,30.6,1950-02-01
1950,"M03","March","",89.9,31.3,1950-03-01
1950,"M04","April","",90.6,32.3,1950-04-01
1950,"M05","May","",91.3,32,1950-05-01
1950,"M06","June","",91.7,33.1,1950-06-01
1950,"M07","July","",92.2,31.9,1950-07-01
1950,"M08","August","",92.5,32.5,1950-08-01
1950,"M09","September","",93.6,31.6,1950-09-01
1950,"M10","October","",93.3,32.3,1950-10-01
1950,"M11","November","",93.4,32.4,1950-11-01
1950,"M12","December","",92.7,32.8,1950-12-01
1951,"M01","January","",94.5,33.2,1951-01-01
1951,"M02","February","",94.6,33.1,1951-02-01
1951,"M03","March","",94.9,33.2,1951-03-01
1951,"M04","April","",95.2,33.2,1951-04-01
1951,"M05","May","",94.9,33.5,1951-05-01
1951,"M06","June","",94.4,32.5,1951-06-01
1951,"M07","July","",94.5,34.3,1951-07-01
1951,"M08","August","",94.6,34.1,1951-08-01
1951,"M09","September","",94.4,34.5,1951-09-01
1951,"M10","October","",94.3,34.8,1951-10-01
1951,"M11","November","",94.5,34,1951-11-01
1951,"M12","December","",94.7,34.6,1951-12-01
1952,"M01","January","",95.1,34.6,1952-01-01
1952,"M02","February","",95.7,34.4,1952-02-01
1952,"M03","March","",96,33.9,1952-03-01
1952,"M04","April","",95.6,33.7,1952-04-01
1952,"M05","May","",95.7,34.1,1952-05-01
1952,"M06","June","",95.1,34.6,1952-06-01
1952,"M07","July","",95.2,33.8,1952-07-01
1952,"M08","August","",94.7,34.4,1952-08-01
1952,"M09","September","",94.9,34.7,1952-09-01
1952,"M10","October","",95.2,33.9,1952-10-01
1952,"M11","November","",95.2,33.9,1952-11-01
1952,"M12","December","",96.1,33.7,1952-12-01
1953,"M01","January","",95.9,33.4,1953-01-01
1953,"M02","February","",95.8,33,1953-02-01
1953,"M03","March","",95.8,33.2,1953-03-01
1953,"M04","April","",95.4,33.1,1953-04-01
1953,"M05","May","",95.2,31.6,1953-05-01
1953,"M06","June","",95.5,32.8,1953-06-01
1953,"M07","July","",96.1,32.8,1953-07-01
1953,"M08","August","",95.7,31.6,1953-08-01
